R0,probability
0.8,0.9974
1.0,0.9546
1.2000000000000002,0.8384
1.4000000000000001,0.717
1.6,0.5996
1.8,0.5394
2.0,0.4684
2.2,0.428
2.4000000000000004,0.3974
2.6,0.3426
2.8,0.319
3.0,0.3008
3.2,0.2694
3.4000000000000004,0.2506
3.6000000000000005,0.2438
3.8,0.231
4.0,0.2216
4.2,0.2018
4.4,0.1848
4.6000000000000005,0.1812
