R0,probability
0.8,0.9678
1.0,0.707
1.2000000000000002,0.3106
1.4000000000000001,0.1174
1.6,0.0402
1.8,0.0142
2.0,0.0064
2.2,0.0036
2.4000000000000004,0.0018
2.6,0.0004
2.8,0.0008
3.0,0.0002
3.2,0.0002
3.4000000000000004,0.0002
3.6000000000000005,0.0004
3.8,0.0
4.0,0.0
4.2,0.0
4.4,0.0
4.6000000000000005,0.0
