R0,probability
0.8,0.959
1.0,0.615
1.2000000000000002,0.2206
1.4000000000000001,0.0604
1.6,0.0172
1.8,0.0074
2.0,0.0028
2.2,0.001
2.4000000000000004,0.0006
2.6,0.000
2.8,0.000
3.0,0.0004

