R0,probability
0.8,1.0
0.9,1.0
1.0,1.0
1.1,0.999
1.2000000000000002,0.999
1.3,0.994
1.4000000000000001,0.984
1.5,0.955
1.6,0.909
1.7000000000000002,0.864
1.8,0.807
1.9000000000000001,0.762
2.0,0.68
2.1,0.601
2.2,0.529
2.3,0.499
2.4000000000000004,0.462
2.5,0.414
2.6,0.422
2.7,0.394
2.8,0.383
2.9000000000000004,0.333
3.0,0.36
3.1000000000000005,0.304
3.2,0.353
3.3,0.295
3.4000000000000004,0.29
3.5,0.281
3.6000000000000005,0.269
3.7,0.242
3.8,0.256
3.9000000000000004,0.276
