R0,probability
0.8,0.996
0.9,0.981
1.0,0.939
1.1,0.841
1.2000000000000002,0.751
1.3,0.68
1.4000000000000001,0.575
1.5,0.495
1.6,0.416
1.7000000000000002,0.387
1.8,0.35
1.9000000000000001,0.315
2.0,0.297
2.1,0.263
2.2,0.228
2.3,0.232
2.4000000000000004,0.198
2.5,0.165
2.6,0.156
2.7,0.147
2.8,0.149
2.9000000000000004,0.11
3.0,0.124
3.1000000000000005,0.096
3.2,0.091
3.3,0.088
3.4000000000000004,0.093
3.5,0.07
3.6000000000000005,0.067
3.7,0.065
3.8,0.05
3.9000000000000004,0.06
