Ns,probability
100,0.8164
600,0.9322
1100,0.9594
1600,0.9598
2100,0.9716
2600,0.9712
3100,0.9762
3600,0.978
4100,0.9774
4600,0.9822
5100,0.9816
5600,0.9844
